,State,County,Census_Tract,Population
2276,PA,Jefferson,45200,13
2277,PA,Juniata,24636,5
2278,PA,Lackawanna,214437,59
2279,PA,Lancaster,519445,98
2280,PA,Lawrence,91108,28
2281,PA,Lebanon,133568,31
2282,PA,Lehigh,349497,76
2283,PA,Luzerne,320918,104
2284,PA,Lycoming,116111,29
2285,PA,McKean,43450,12
2286,PA,Mercer,116638,30
2287,PA,Mifflin,46682,12
2288,PA,Monroe,169842,33
2289,PA,Montgomery,799874,211
2290,PA,Montour,18267,4
2291,PA,Northampton,297735,68
2292,PA,Northumberland,94528,24
2293,PA,Perry,45969,10
2294,PA,Philadelphia,1526006,384
2295,PA,Pike,57369,18
2296,PA,Potter,17457,5
2297,PA,Schuylkill,148289,40
2298,PA,Snyder,39702,8
2299,PA,Somerset,77742,21
2300,PA,Sullivan,6428,2
2301,PA,Susquehanna,43356,11
2302,PA,Tioga,41981,10
2303,PA,Union,44947,10
2304,PA,Venango,54984,16
2305,PA,Warren,41815,13
2306,PA,Washington,207820,59
2307,PA,Wayne,52822,14
2308,PA,Westmoreland,365169,100
2309,PA,Wyoming,28276,7
2310,PA,York,434972,90
2311,RI,Bristol,49875,11
2312,RI,Kent,166158,39
2313,RI,Newport,82888,22
2314,RI,Providence,626667,141
2315,RI,Washington,126979,29
2316,SC,Abbeville,25417,6
2317,SC,Aiken,160099,33
2318,SC,Allendale,10419,3
2319,SC,Anderson,187126,39
2320,SC,Bamberg,15987,4
2321,SC,Barnwell,22621,6
2322,SC,Beaufort,162233,41
2323,SC,Berkeley,177843,45
2324,SC,Calhoun,15175,3
2325,SC,Charleston,350209,86
2326,SC,Cherokee,55342,13
2327,SC,Chester,33140,11
2328,SC,Chesterfield,46734,10
2329,SC,Clarendon,34971,12
2330,SC,Colleton,38892,10
2331,SC,Darlington,68681,16
2332,SC,Dillon,32062,6
2333,SC,Dorchester,136555,25
2334,SC,Edgefield,26985,6
2335,SC,Fairfield,23956,5
2336,SC,Florence,136885,33
2337,SC,Georgetown,60158,15
2338,SC,Greenville,451225,111
2339,SC,Greenwood,69661,14
2340,SC,Hampton,21090,5
2341,SC,Horry,269291,72
2342,SC,Jasper,24777,5
2343,SC,Kershaw,61697,15
2344,SC,Lancaster,76652,14
2345,SC,Laurens,66537,17
2346,SC,Lee,19220,7
2347,SC,Lexington,262391,74
2348,SC,Marion,33062,8
2349,SC,Marlboro,28933,7
2350,SC,McCormick,10233,3
2351,SC,Newberry,37508,8
2352,SC,Oconee,74273,15
2353,SC,Orangeburg,92501,20
2354,SC,Pickens,119224,28
2355,SC,Richland,384504,89
2356,SC,Saluda,19875,5
2357,SC,Spartanburg,284307,69
2358,SC,Sumter,107456,23
2359,SC,Union,28961,9
2360,SC,Williamsburg,34423,11
2361,SC,York,226073,46
2362,SD,Aurora,2710,1
2363,SD,Beadle,17398,6
2364,SD,Bennett,3431,2
2365,SD,Bon Homme,7070,2
2366,SD,Brookings,31965,6
2367,SD,Brown,36531,8
2368,SD,Brule,5255,2
2369,SD,Buffalo,1912,1
2370,SD,Butte,10110,2
2371,SD,Campbell,1466,1
2372,SD,Charles Mix,9129,3
2373,SD,Clark,3691,1
2374,SD,Clay,13864,3
2375,SD,Codington,27227,7
2376,SD,Corson,4050,2
2377,SD,Custer,8216,2
2378,SD,Davison,19504,4
2379,SD,Day,5710,3
2380,SD,Deuel,4364,2
2381,SD,Dewey,5301,2
2382,SD,Douglas,3002,1
2383,SD,Edmunds,4071,2
2384,SD,Fall River,7094,2
2385,SD,Faulk,2364,1
2386,SD,Grant,7356,2
2387,SD,Gregory,4271,2
2388,SD,Haakon,1937,1
2389,SD,Hamlin,5903,2
2390,SD,Hand,3431,2
2391,SD,Hanson,3331,1
2392,SD,Harding,1255,1
2393,SD,Hughes,17022,4
2394,SD,Hutchinson,7343,3
2395,SD,Hyde,1420,1
2396,SD,Jackson,3031,2
2397,SD,Jerauld,2071,1
2398,SD,Jones,1006,1
2399,SD,Kingsbury,5148,2
2400,SD,Lake,11200,3
2401,SD,Lawrence,24097,5
2402,SD,Lincoln,44828,11
2403,SD,Lyman,3755,2
2404,SD,Marshall,4656,1
2405,SD,McCook,5618,2
2406,SD,McPherson,2459,1
2407,SD,Meade,25434,5
2408,SD,Mellette,2048,1
2409,SD,Miner,2389,1
2410,SD,Minnehaha,169468,42
2411,SD,Moody,6486,2
2412,SD,Pennington,100948,23
2413,SD,Perkins,2982,1
2414,SD,Potter,2329,1
2415,SD,Roberts,10149,4
2416,SD,Sanborn,2355,1
2417,SD,Shannon,13586,3
2418,SD,Spink,6415,3
2419,SD,Stanley,2966,1
2420,SD,Sully,1373,1
2421,SD,Todd,9612,2
2422,SD,Tripp,5644,2
2423,SD,Turner,8347,2
2424,SD,Union,14399,3
2425,SD,Walworth,5438,2
2426,SD,Yankton,22438,5
2427,SD,Ziebach,2801,1
2428,TN,Anderson,75129,18
2429,TN,Bedford,45058,9
2430,TN,Benton,16489,5
2431,TN,Bledsoe,12876,3
2432,TN,Blount,123010,28
2433,TN,Bradley,98963,19
2434,TN,Campbell,40716,11
2435,TN,Cannon,13801,3
2436,TN,Carroll,28522,8
2437,TN,Carter,57424,17
2438,TN,Cheatham,39105,9
2439,TN,Chester,17131,3
2440,TN,Claiborne,32213,9
2441,TN,Clay,7861,2
2442,TN,Cocke,35662,9
2443,TN,Coffee,52796,12
2444,TN,Crockett,14586,5
2445,TN,Cumberland,56053,14
2446,TN,Davidson,626681,161
2447,TN,DeKalb,18723,4
2448,TN,Decatur,11757,4
2449,TN,Dickson,49666,10
2450,TN,Dyer,38335,8
2451,TN,Fayette,38413,11
2452,TN,Fentress,17959,4
2453,TN,Franklin,41052,9
2454,TN,Gibson,49683,14
2455,TN,Giles,29485,8
2456,TN,Grainger,22657,5
2457,TN,Greene,68831,15
2458,TN,Grundy,13703,4
2459,TN,Hamblen,62544,12
2460,TN,Hamilton,336463,82
2461,TN,Hancock,6819,2
2462,TN,Hardeman,27253,6
2463,TN,Hardin,26026,6
2464,TN,Hawkins,56833,13
2465,TN,Haywood,18787,6
2466,TN,Henderson,27769,6
2467,TN,Henry,32330,9
2468,TN,Hickman,24690,6
2469,TN,Houston,8426,3
2470,TN,Humphreys,18538,5
2471,TN,Jackson,11638,4
2472,TN,Jefferson,51407,9
2473,TN,Johnson,18244,5
2474,TN,Knox,432226,112
2475,TN,Lake,7832,2
2476,TN,Lauderdale,27815,9
2477,TN,Lawrence,41869,11
2478,TN,Lewis,12161,2
2479,TN,Lincoln,33361,9
2480,TN,Loudon,48556,10
2481,TN,Macon,22248,4
2482,TN,Madison,98294,27
2483,TN,Marion,28237,6
2484,TN,Marshall,30617,6
2485,TN,Maury,80956,17
2486,TN,McMinn,52266,10
2487,TN,McNairy,26075,7
2488,TN,Meigs,11753,3
2489,TN,Monroe,44519,7
2490,TN,Montgomery,172331,39
2491,TN,Moore,6362,2
2492,TN,Morgan,21987,5
2493,TN,Obion,31807,10
2494,TN,Overton,22083,7
2495,TN,Perry,7915,2
2496,TN,Pickett,5077,1
2497,TN,Polk,16825,5
2498,TN,Putnam,72321,15
2499,TN,Rhea,31809,6
2500,TN,Roane,54181,11
2501,TN,Robertson,66283,14
2502,TN,Rutherford,262604,49
2503,TN,Scott,22228,5
2504,TN,Sequatchie,14112,3
2505,TN,Sevier,89889,18
2506,TN,Shelby,927644,221
2507,TN,Smith,19166,5
2508,TN,Stewart,13324,5
2509,TN,Sullivan,156823,39
2510,TN,Sumner,160645,42
2511,TN,Tipton,61081,13
2512,TN,Trousdale,7870,2
2513,TN,Unicoi,18313,4
2514,TN,Union,19109,4
2515,TN,Van Buren,5548,2
2516,TN,Warren,39839,9
2517,TN,Washington,122979,23
2518,TN,Wayne,17021,4
2519,TN,Weakley,35021,11
2520,TN,White,25841,6
2521,TN,Williamson,183182,37
2522,TN,Wilson,113993,21
2523,TX,Anderson,58458,11
2524,TX,Andrews,14786,4
2525,TX,Angelina,86771,17
2526,TX,Aransas,23158,5
2527,TX,Archer,9054,3
2528,TX,Armstrong,1901,1
2529,TX,Atascosa,44911,8
2530,TX,Austin,28417,6
2531,TX,Bailey,7165,1
2532,TX,Bandera,20485,5
2533,TX,Bastrop,74171,10
2534,TX,Baylor,3726,1
2535,TX,Bee,31861,7
2536,TX,Bell,310235,65
2537,TX,Bexar,1714773,366
2538,TX,Blanco,10497,2
2539,TX,Borden,641,1
2540,TX,Bosque,18212,7
2541,TX,Bowie,92565,18
2542,TX,Brazoria,313166,51
2543,TX,Brazos,194851,42
2544,TX,Brewster,9232,3
2545,TX,Briscoe,1637,1
2546,TX,Brooks,7223,2
2547,TX,Brown,38106,12
2548,TX,Burleson,17187,5
2549,TX,Burnet,42750,8
2550,TX,Caldwell,38066,8
2551,TX,Calhoun,21381,6
2552,TX,Callahan,13544,3
2553,TX,Cameron,406220,86
2554,TX,Camp,12401,3
2555,TX,Carson,6182,2
2556,TX,Cass,30464,7
2557,TX,Castro,8062,3
2558,TX,Chambers,35096,6
2559,TX,Cherokee,50845,12
2560,TX,Childress,7041,2
2561,TX,Clay,10752,3
2562,TX,Cochran,3127,1
2563,TX,Coke,3320,2
2564,TX,Coleman,8895,3
2565,TX,Collin,782341,152
2566,TX,Collingsworth,3057,1
2567,TX,Colorado,20874,5
2568,TX,Comal,108472,24
2569,TX,Comanche,13974,4
2570,TX,Concho,4087,1
2571,TX,Cooke,38437,8
2572,TX,Coryell,75388,19
2573,TX,Cottle,1505,1
2574,TX,Crane,4375,1
2575,TX,Crockett,3719,1
2576,TX,Crosby,6059,3
2577,TX,Culberson,2398,1
2578,TX,Dallam,6703,2
2579,TX,Dallas,2368139,529
2580,TX,Dawson,13833,4
2581,TX,DeWitt,20097,5
2582,TX,Deaf Smith,19372,4
2583,TX,Delta,5231,2
2584,TX,Denton,662614,137
2585,TX,Dickens,2444,1
2586,TX,Dimmit,9996,2
2587,TX,Donley,3677,2
2588,TX,Duval,11782,3
2589,TX,Eastland,18583,5
2590,TX,Ector,137130,28
2591,TX,Edwards,2002,1
2592,TX,El Paso,800647,161
2593,TX,Ellis,149610,31
2594,TX,Erath,37890,8
2595,TX,Falls,17866,6
2596,TX,Fannin,33915,9
2597,TX,Fayette,24554,7
2598,TX,Fisher,3974,2
2599,TX,Floyd,6446,2
2600,TX,Foard,1336,1
2601,TX,Fort Bend,585375,76
2602,TX,Franklin,10605,3
2603,TX,Freestone,19816,7
2604,TX,Frio,17217,3
2605,TX,Gaines,17526,3
2606,TX,Galveston,291309,67
2607,TX,Garza,6461,1
2608,TX,Gillespie,24837,5
2609,TX,Glasscock,1226,1
2610,TX,Goliad,7210,2
2611,TX,Gonzales,19807,6
2612,TX,Gray,22535,7
2613,TX,Grayson,120877,26
2614,TX,Gregg,121730,25
2615,TX,Grimes,26604,6
2616,TX,Guadalupe,131533,29
2617,TX,Hale,36273,9
2618,TX,Hall,3353,1
2619,TX,Hamilton,8517,3
2620,TX,Hansford,5613,2
2621,TX,Hardeman,4139,1
2622,TX,Hardin,54635,11
2623,TX,Harris,4092459,786
2624,TX,Harrison,65631,14
2625,TX,Hartley,6062,1
2626,TX,Haskell,5899,2
2627,TX,Hays,157107,25
2628,TX,Hemphill,3807,1
2629,TX,Henderson,78532,17
2630,TX,Hidalgo,774769,113
2631,TX,Hill,35089,11
2632,TX,Hockley,22935,7
2633,TX,Hood,51182,10
2634,TX,Hopkins,35161,9
2635,TX,Houston,23732,7
2636,TX,Howard,35012,10
2637,TX,Hudspeth,3476,1
2638,TX,Hunt,86129,19
2639,TX,Hutchinson,22150,7
2640,TX,Irion,1599,1
2641,TX,Jack,9044,3
2642,TX,Jackson,14075,3
2643,TX,Jasper,35710,8
2644,TX,Jeff Davis,2342,1
2645,TX,Jefferson,252273,72
2646,TX,Jim Hogg,5300,2
2647,TX,Jim Wells,40838,7
2648,TX,Johnson,150934,28
2649,TX,Jones,20202,6
2650,TX,Karnes,14824,4
2651,TX,Kaufman,103350,18
2652,TX,Kendall,33410,6
2653,TX,Kenedy,416,1
2654,TX,Kent,808,1
2655,TX,Kerr,49625,10
2656,TX,Kimble,4607,2
2657,TX,King,286,1
2658,TX,Kinney,3598,1
2659,TX,Kleberg,32061,6
2660,TX,Knox,3719,2
2661,TX,La Salle,6886,1
2662,TX,Lamar,49793,12
2663,TX,Lamb,13977,5
2664,TX,Lampasas,19677,5
2665,TX,Lavaca,19263,6
2666,TX,Lee,16612,4
2667,TX,Leon,16801,3
2668,TX,Liberty,75643,14
2669,TX,Limestone,23384,8
2670,TX,Lipscomb,3302,2
2671,TX,Live Oak,11531,4
2672,TX,Llano,19301,6
2673,TX,Loving,82,1
2674,TX,Lubbock,278831,68
2675,TX,Lynn,5915,3
2676,TX,Madison,13664,4
2677,TX,Marion,10546,4
2678,TX,Martin,4799,2
2679,TX,Mason,4012,2
2680,TX,Matagorda,36702,10
2681,TX,Maverick,54258,9
2682,TX,McCulloch,8283,3
2683,TX,McLennan,234906,51
2684,TX,McMullen,707,1
2685,TX,Medina,46006,8
2686,TX,Menard,2242,1
2687,TX,Midland,136872,27
2688,TX,Milam,24757,7
2689,TX,Mills,4936,2
2690,TX,Mitchell,9403,2
2691,TX,Montague,19719,6
2692,TX,Montgomery,455746,59
2693,TX,Moore,21904,4
2694,TX,Morris,12934,3
2695,TX,Motley,1210,1
2696,TX,Nacogdoches,64524,13
2697,TX,Navarro,47735,10
2698,TX,Newton,14445,4
2699,TX,Nolan,15216,5
2700,TX,Nueces,340223,81
2701,TX,Ochiltree,10223,3
2702,TX,Oldham,2052,1
2703,TX,Orange,81837,21
2704,TX,Palo Pinto,28111,9
2705,TX,Panola,23796,6
2706,TX,Parker,116927,19
2707,TX,Parmer,10269,2
2708,TX,Pecos,15507,4
2709,TX,Polk,45413,10
2710,TX,Potter,121073,34
2711,TX,Presidio,7818,2
2712,TX,Rains,10914,2
2713,TX,Randall,120725,29
2714,TX,Reagan,3367,1
2715,TX,Real,3309,1
2716,TX,Red River,12860,4
2717,TX,Reeves,13783,5
2718,TX,Refugio,7383,2
2719,TX,Roberts,929,1
2720,TX,Robertson,16622,5
2721,TX,Rockwall,78337,11
2722,TX,Runnels,10501,4
2723,TX,Rusk,53330,13
2724,TX,Sabine,10834,3
2725,TX,San Augustine,8865,3
2726,TX,San Jacinto,26384,4
2727,TX,San Patricio,64804,16
2728,TX,San Saba,6131,2
2729,TX,Schleicher,3461,1
2730,TX,Scurry,16921,4
2731,TX,Shackelford,3378,1
2732,TX,Shelby,25448,6
2733,TX,Sherman,3034,1
2734,TX,Smith,209714,41
2735,TX,Somervell,8490,2
2736,TX,Starr,60968,15
2737,TX,Stephens,9630,3
2738,TX,Sterling,1143,1
2739,TX,Stonewall,1490,1
2740,TX,Sutton,4128,1
2741,TX,Swisher,7854,3
2742,TX,Tarrant,1809034,357
2743,TX,Taylor,131506,38
2744,TX,Terrell,984,1
2745,TX,Terry,12651,3
2746,TX,Throckmorton,1641,1
2747,TX,Titus,32334,8
2748,TX,Tom Green,110224,25
2749,TX,Travis,1024266,218
2750,TX,Trinity,14585,5
2751,TX,Tyler,21766,5
2752,TX,Upshur,39309,7
2753,TX,Upton,3355,2
2754,TX,Uvalde,26405,5
2755,TX,Val Verde,48879,10
2756,TX,Van Zandt,52579,10
2757,TX,Victoria,86793,23
2758,TX,Walker,67861,10
2759,TX,Waller,43205,6
2760,TX,Ward,10658,3
2761,TX,Washington,33718,6
2762,TX,Webb,250304,61
2763,TX,Wharton,41280,11
2764,TX,Wheeler,5410,2
2765,TX,Wichita,131500,37
2766,TX,Wilbarger,13535,4
2767,TX,Willacy,22134,6
2768,TX,Williamson,422679,89
2769,TX,Wilson,42918,11
2770,TX,Winkler,7110,3
2771,TX,Wise,59127,11
2772,TX,Wood,41964,10
2773,TX,Yoakum,7879,2
2774,TX,Young,18550,4
2775,TX,Zapata,14018,3
2776,TX,Zavala,11677,4
2777,UT,Beaver,6629,2
2778,UT,Box Elder,49975,11
2779,UT,Cache,112656,26
2780,UT,Carbon,21403,5
2781,UT,Daggett,1059,1
2782,UT,Davis,306479,54
2783,UT,Duchesne,18607,3
2784,UT,Emery,10976,3
2785,UT,Garfield,5172,2
2786,UT,Grand,9225,2
2787,UT,Iron,46163,8
2788,UT,Juab,10246,2
2789,UT,Kane,7125,2
2790,UT,Millard,12503,3
2791,UT,Morgan,9469,2
2792,UT,Piute,1556,1
2793,UT,Rich,2264,1
2794,UT,Salt Lake,1029655,212
2795,UT,San Juan,14746,4
2796,UT,Sanpete,27822,5
2797,UT,Sevier,20802,5
2798,UT,Summit,36324,13
2799,UT,Tooele,58218,11
2800,UT,Uintah,32588,6
2801,UT,Utah,516564,128
2802,UT,Wasatch,23530,4
2803,UT,Washington,138115,21
2804,UT,Wayne,2778,1
2805,UT,Weber,231236,50
2806,VA,Accomack,33164,11
2807,VA,Albemarle,98970,22
2808,VA,Alexandria,139966,38
2809,VA,Alleghany,16250,6
2810,VA,Amelia,12690,2
2811,VA,Amherst,32353,9
2812,VA,Appomattox,14973,3
2813,VA,Arlington,207627,59
2814,VA,Augusta,73750,13
2815,VA,Bath,4731,1
2816,VA,Bedford,68676,16
2817,VA,Bedford City,6222,1
2818,VA,Bland,6824,2
2819,VA,Botetourt,33148,8
2820,VA,Bristol,17835,4
2821,VA,Brunswick,17434,5
2822,VA,Buchanan,24098,7
2823,VA,Buckingham,17146,4
2824,VA,Buena Vista,6650,1
2825,VA,Campbell,54842,12
2826,VA,Caroline,28545,7
2827,VA,Carroll,30042,7
2828,VA,Charles City,7256,3
2829,VA,Charlotte,12586,3
2830,VA,Charlottesville,43475,12
2831,VA,Chesapeake,222209,41
2832,VA,Chesterfield,316236,71
2833,VA,Clarke,14034,3
2834,VA,Colonial Heights,17411,5
2835,VA,Covington,5961,2
2836,VA,Craig,5190,1
2837,VA,Culpeper,46689,8
2838,VA,Cumberland,10052,2
2839,VA,Danville,43055,16
2840,VA,Dickenson,15903,4
2841,VA,Dinwiddie,28001,7
2842,VA,Emporia,5927,2
2843,VA,Essex,11151,3
2844,VA,Fairfax,1081726,258
2845,VA,Fairfax City,22565,5
2846,VA,Falls Church,12332,3
2847,VA,Fauquier,65203,17
2848,VA,Floyd,15279,3
2849,VA,Fluvanna,25691,4
2850,VA,Franklin,56159,10
2851,VA,Franklin City,8582,2
2852,VA,Frederick,78305,14
2853,VA,Fredericksburg,24286,6
2854,VA,Galax,7042,2
2855,VA,Giles,17286,4
2856,VA,Gloucester,36858,8
2857,VA,Goochland,21717,5
2858,VA,Grayson,15533,5
2859,VA,Greene,18403,3
2860,VA,Greensville,12243,3
2861,VA,Halifax,36241,9
2862,VA,Hampton,137436,34
2863,VA,Hanover,99863,23
2864,VA,Harrisonburg,48914,11
2865,VA,Henrico,306935,64
2866,VA,Henry,54151,14
2867,VA,Highland,2321,1
2868,VA,Hopewell,22591,7
2869,VA,Isle of Wight,35270,8
2870,VA,James City,67009,11
2871,VA,King George,23584,5
2872,VA,King William,15935,4
2873,VA,King and Queen,6945,2
2874,VA,Lancaster,11391,3
2875,VA,Lee,25587,6
2876,VA,Lexington,7042,1
2877,VA,Loudoun,312311,65
2878,VA,Louisa,33153,6
2879,VA,Lunenburg,12914,3
2880,VA,Lynchburg,75568,19
2881,VA,Madison,13308,2
2882,VA,Manassas,37821,7
2883,VA,Manassas Park,14273,2
2884,VA,Martinsville,13821,5
2885,VA,Mathews,8978,2
2886,VA,Mecklenburg,32727,9
2887,VA,Middlesex,10959,4
2888,VA,Montgomery,94392,16
2889,VA,Nelson,15020,3
2890,VA,New Kent,18429,3
2891,VA,Newport News,180719,44
2892,VA,Norfolk,242803,81
2893,VA,Northampton,12389,4
2894,VA,Northumberland,12330,3
2895,VA,Norton,3958,1
2896,VA,Nottoway,15853,4
2897,VA,Orange,33481,5
2898,VA,Page,24042,5
2899,VA,Patrick,18490,4
2900,VA,Petersburg,32420,11
2901,VA,Pittsylvania,63506,16
2902,VA,Poquoson,12150,3
2903,VA,Portsmouth,95535,31
2904,VA,Powhatan,28046,5
2905,VA,Prince Edward,23368,5
2906,VA,Prince George,35725,7
2907,VA,Prince William,402002,83
2908,VA,Pulaski,34872,10
2909,VA,Radford,16408,3
2910,VA,Rappahannock,7373,2
2911,VA,Richmond,9254,2
2912,VA,Richmond City,204214,66
2913,VA,Roanoke,92376,18
2914,VA,Roanoke City,97032,23
2915,VA,Rockbridge,22307,4
2916,VA,Rockingham,76314,19
2917,VA,Russell,28897,7
2918,VA,Salem,24802,5
2919,VA,Scott,23177,6
2920,VA,Shenandoah,41993,9
2921,VA,Smyth,32208,9
2922,VA,Southampton,18570,5
2923,VA,Spotsylvania,122397,30
2924,VA,Stafford,128961,27
2925,VA,Staunton,23746,6
2926,VA,Suffolk,84585,28
2927,VA,Surry,7058,2
2928,VA,Sussex,12087,5
2929,VA,Tazewell,45078,11
2930,VA,Virginia Beach,437994,100
2931,VA,Warren,37575,8
2932,VA,Washington,54876,13
2933,VA,Waynesboro,21006,5
2934,VA,Westmoreland,17454,4
2935,VA,Williamsburg,14068,3
2936,VA,Winchester,26203,5
2937,VA,Wise,41452,11
2938,VA,Wythe,29235,6
2939,VA,York,65464,14
2940,VT,Addison,36821,10
2941,VT,Bennington,37125,12
2942,VT,Caledonia,31227,10
2943,VT,Chittenden,156545,35
2944,VT,Essex,6306,3
2945,VT,Franklin,47746,10
2946,VT,Grand Isle,6970,2
2947,VT,Lamoille,24475,7
2948,VT,Orange,28936,10
2949,VT,Orleans,27231,10
2950,VT,Rutland,61642,20
2951,VT,Washington,59534,19
2952,VT,Windham,44513,18
2953,VT,Windsor,56670,18
2954,WA,Adams,18728,5
2955,WA,Asotin,21623,6
2956,WA,Benton,175177,37
2957,WA,Chelan,72453,14
2958,WA,Clallam,71404,22
2959,WA,Clark,425363,104
2960,WA,Columbia,4078,1
2961,WA,Cowlitz,102410,24
2962,WA,Douglas,38431,8
2963,WA,Ferry,7551,3
2964,WA,Franklin,78163,13
2965,WA,Garfield,2266,1
2966,WA,Grant,89120,16
2967,WA,Grays Harbor,72797,17
2968,WA,Island,78506,22
2969,WA,Jefferson,29872,7
2970,WA,King,1931249,397
2971,WA,Kitsap,251133,55
2972,WA,Kittitas,40915,8
2973,WA,Klickitat,20318,3
2974,WA,Lewis,75455,20
2975,WA,Lincoln,10570,4
2976,WA,Mason,60699,14
2977,WA,Okanogan,41120,10
2978,WA,Pacific,20920,8
2979,WA,Pend Oreille,13001,5
2980,WA,Pierce,795225,172
2981,WA,San Juan,15769,5
2982,WA,Skagit,116901,30
2983,WA,Skamania,11066,5
2984,WA,Snohomish,713335,151
2985,WA,Spokane,471221,105
2986,WA,Stevens,43531,12
2987,WA,Thurston,252264,49
2988,WA,Wahkiakum,3978,1
2989,WA,Walla Walla,58781,12
2990,WA,Whatcom,201140,34
2991,WA,Whitman,44776,10
2992,WA,Yakima,243231,45
2993,WI,Adams,20875,7
2994,WI,Ashland,16157,7
2995,WI,Barron,45870,10
2996,WI,Bayfield,15014,5
2997,WI,Brown,248007,54
2998,WI,Buffalo,13587,5
2999,WI,Burnett,15457,6
3000,WI,Calumet,48971,11
3001,WI,Chippewa,62415,11
3002,WI,Clark,34690,8
3003,WI,Columbia,56833,12
3004,WI,Crawford,16644,6
3005,WI,Dane,488073,107
3006,WI,Dodge,88759,20
3007,WI,Door,27785,9
3008,WI,Douglas,44159,12
3009,WI,Dunn,43857,8
3010,WI,Eau Claire,98736,20
3011,WI,Florence,4423,2
3012,WI,Fond du Lac,101633,20
3013,WI,Forest,9304,4
3014,WI,Grant,51208,12
3015,WI,Green,36842,8
3016,WI,Green Lake,19051,6
3017,WI,Iowa,23687,6
3018,WI,Iron,5916,3
3019,WI,Jackson,20449,5
3020,WI,Jefferson,83686,20
3021,WI,Juneau,26664,7
3022,WI,Kenosha,166426,35
3023,WI,Kewaunee,20574,4
3024,WI,La Crosse,114638,25
3025,WI,Lafayette,16836,5
3026,WI,Langlade,19977,6
3027,WI,Lincoln,28743,10
3028,WI,Manitowoc,81442,19
3029,WI,Marathon,134063,27
3030,WI,Marinette,41749,12
3031,WI,Marquette,15404,5
3032,WI,Menominee,4232,2
3033,WI,Milwaukee,947735,297
3034,WI,Monroe,44673,9
3035,WI,Oconto,37660,10
3036,WI,Oneida,35998,14
3037,WI,Outagamie,176695,40
3038,WI,Ozaukee,86395,18
3039,WI,Pepin,7469,2
3040,WI,Pierce,41019,8
3041,WI,Polk,44205,10
3042,WI,Portage,70019,14
3043,WI,Price,14159,6
3044,WI,Racine,195408,44
3045,WI,Richland,18021,5
3046,WI,Rock,160331,38
3047,WI,Rusk,14755,5
3048,WI,Sauk,61976,13
3049,WI,Sawyer,16557,6
3050,WI,Shawano,41949,11
3051,WI,Sheboygan,115507,26
3052,WI,St. Croix,84345,14
3053,WI,Taylor,20689,6
3054,WI,Trempealeau,28816,8
3055,WI,Vernon,29773,7
3056,WI,Vilas,21430,5
3057,WI,Walworth,102228,22
3058,WI,Washburn,15911,5
3059,WI,Washington,131887,28
3060,WI,Waukesha,389891,86
3061,WI,Waupaca,52410,12
3062,WI,Waushara,24496,7
3063,WI,Winnebago,166994,41
3064,WI,Wood,74749,17
3065,WV,Barbour,16589,4
3066,WV,Berkeley,104169,14
3067,WV,Boone,24629,8
3068,WV,Braxton,14523,3
3069,WV,Brooke,24069,6
3070,WV,Cabell,96319,29
3071,WV,Calhoun,7627,2
3072,WV,Clay,9386,3
3073,WV,Doddridge,8202,2
3074,WV,Fayette,46039,12
3075,WV,Gilmer,8693,2
3076,WV,Grant,11937,3
3077,WV,Greenbrier,35480,7
3078,WV,Hampshire,23964,5
3079,WV,Hancock,30676,8
3080,WV,Hardy,14025,3
3081,WV,Harrison,69099,22
3082,WV,Jackson,29211,6
3083,WV,Jefferson,53498,15
3084,WV,Kanawha,193063,53
3085,WV,Lewis,16372,5
3086,WV,Lincoln,21720,5
3087,WV,Logan,36743,9
3088,WV,Marion,56418,18
3089,WV,Marshall,33107,9
3090,WV,Mason,27324,6
3091,WV,McDowell,22113,8
3092,WV,Mercer,62264,16
3093,WV,Mineral,28212,7
3094,WV,Mingo,26839,7
3095,WV,Monongalia,96189,24
3096,WV,Monroe,13502,3
3097,WV,Morgan,17541,4
3098,WV,Nicholas,26233,7
3099,WV,Ohio,44443,18
3100,WV,Pendleton,7695,3
3101,WV,Pleasants,7605,2
3102,WV,Pocahontas,8719,4
3103,WV,Preston,33520,8
3104,WV,Putnam,55486,10
3105,WV,Raleigh,78859,17
3106,WV,Randolph,29405,7
3107,WV,Ritchie,10449,3
3108,WV,Roane,14926,4
3109,WV,Summers,13927,4
3110,WV,Taylor,16895,4
3111,WV,Tucker,7141,3
3112,WV,Tyler,9208,3
3113,WV,Upshur,24254,6
3114,WV,Wayne,42481,11
3115,WV,Webster,9154,3
3116,WV,Wetzel,16583,5
3117,WV,Wirt,5717,2
3118,WV,Wood,86956,26
3119,WV,Wyoming,23796,6
3120,WY,Albany,36299,10
3121,WY,Big Horn,11668,3
3122,WY,Campbell,46133,7
3123,WY,Carbon,15885,5
3124,WY,Converse,13833,4
3125,WY,Crook,7083,2
3126,WY,Fremont,40123,10
3127,WY,Goshen,13249,4
3128,WY,Hot Springs,4812,2
3129,WY,Johnson,8569,2
3130,WY,Laramie,91738,21
3131,WY,Lincoln,18106,4
3132,WY,Natrona,75450,18
3133,WY,Niobrara,2484,1
3134,WY,Park,28205,5
3135,WY,Platte,8667,2
3136,WY,Sheridan,29116,6
3137,WY,Sublette,10247,2
3138,WY,Sweetwater,43806,12
3139,WY,Teton,21294,4
3140,WY,Uinta,21118,3
3141,WY,Washakie,8533,3
3142,WY,Weston,7208,2
